time,mean,low_limit,upper_limit
0.034,9.182995384156792e-5,8.538581937425891e-5,9.792687381102718e-5
0.035,9.183437517345146e-5,8.509537681322348e-5,9.801678252937147e-5
0.036,9.183791045877106e-5,8.544754087812942e-5,9.795661254102724e-5
0.037,9.18978006957532e-5,8.528569058897727e-5,9.79399678533936e-5
0.038,9.191509330878273e-5,8.50204207102951e-5,9.807670812395482e-5
0.039,9.189689303561792e-5,8.478044846912728e-5,9.815854846786515e-5
0.04,9.194249253427908e-5,8.445580743213407e-5,9.851131642525245e-5
0.041,9.19190791803076e-5,8.451245988158777e-5,9.851064875950885e-5
0.042,9.192592636978222e-5,8.451006469801202e-5,9.879110875457441e-5
0.043,9.195090327882617e-5,8.445670575097744e-5,9.903262061920849e-5
0.044,9.19781670033465e-5,8.439322488954738e-5,9.951978937190911e-5
0.045,9.203172813617992e-5,8.430016660395859e-5,9.980092172991379e-5
0.046,9.207231061384405e-5,8.451981929244685e-5,9.982367851350669e-5
0.047,9.20702601721305e-5,8.454813803357463e-5,9.997817331985955e-5
0.048,9.206596961806776e-5,8.433687371475938e-5,0.00010000144826942528
0.049,9.206648103775941e-5,8.443245281043206e-5,9.983641943175767e-5
0.05,9.207182042460323e-5,8.451363352584865e-5,9.968947987732359e-5
0.051,9.209339737617136e-5,8.433643270303035e-5,9.994017341491858e-5
0.052,9.210778704494963e-5,8.444976263044618e-5,9.993443278953428e-5
0.053,9.215591874191832e-5,8.42326357408854e-5,0.00010005755496788155
0.054,9.21803484766043e-5,8.427680294208453e-5,0.00010015247609315131
0.055,9.216462905957259e-5,8.415010436943821e-5,0.00010022925854295985
0.056,9.21682434241768e-5,8.436701541472669e-5,0.00010009385834073905
0.057,9.219210534069217e-5,8.454189425929567e-5,0.0001004107164995595
0.058,9.219495393344307e-5,8.448565247847334e-5,0.00010028537377249018
0.059,9.220720710983717e-5,8.431827174866373e-5,0.00010040741341029626
0.06,9.220026555091395e-5,8.418626805135177e-5,0.00010071607802750576
0.061,9.222810265531636e-5,8.402610493968814e-5,0.00010054647335778794
0.062,9.225971148146158e-5,8.387006390697508e-5,0.0001005476953690551
0.063,9.230364373946859e-5,8.365870288991259e-5,0.0001007176556845309
0.064,9.23145375514603e-5,8.377429629313925e-5,0.00010116061263204168
0.065,9.230934665258695e-5,8.370716044307567e-5,0.00010105159798251186
0.066,9.231118160740983e-5,8.362599596101398e-5,0.00010163090027007403
0.067,9.234784034745817e-5,8.38304097896364e-5,0.00010178191677384974
0.068,9.237621320440416e-5,8.388930382220827e-5,0.0001020706417582622
0.069,9.237883120284951e-5,8.401287567504435e-5,0.0001020168331452492
0.07,9.24405522695309e-5,8.397512950546783e-5,0.00010240750417786666
0.071,9.246479180450021e-5,8.376858999918266e-5,0.00010239965785878773
0.072,9.248207953053899e-5,8.364550853416666e-5,0.00010305466133399388
0.073,9.254126590818915e-5,8.36414897818138e-5,0.0001028826726817223
0.074,9.261549010106195e-5,8.362458476064621e-5,0.00010290066449276231
0.075,9.265102071338556e-5,8.362700976463164e-5,0.00010309706492459689
0.076,9.266517282118325e-5,8.33459112129432e-5,0.00010296109722929096
0.077,9.268533755647212e-5,8.322054365155908e-5,0.00010275196260879405
0.078,9.271511455446206e-5,8.33808063758957e-5,0.00010290029836874319
0.079,9.278320964143797e-5,8.328678667767773e-5,0.00010318547599432232
0.08,9.278855652239403e-5,8.29684248944423e-5,0.00010323900589981542
0.081,9.276792261650856e-5,8.31170980695414e-5,0.00010296696479655072
0.082,9.278795797302386e-5,8.286772750362172e-5,0.00010318769187497205
0.083,9.283592229100788e-5,8.286457104109719e-5,0.00010334424420250265
0.084,9.282394932302765e-5,8.308175522165636e-5,0.00010327657829655622
0.085,9.28200886635452e-5,8.355778503387707e-5,0.00010367894154314361
0.086,9.28628818836892e-5,8.328865774606914e-5,0.00010373723917958973
0.087,9.287354942066823e-5,8.35796400587276e-5,0.00010344319333583372
0.088,9.288928579942239e-5,8.342773029536827e-5,0.00010391197026502619
0.089,9.292016007662615e-5,8.324491600524285e-5,0.00010414920901589474
0.09,9.295649561862647e-5,8.37516885301289e-5,0.0001036219127447556
0.091,9.292881770562682e-5,8.353256038151006e-5,0.0001037835461748458
0.092,9.296868436566111e-5,8.328096973923884e-5,0.00010428572414453676
0.093,9.299761459340354e-5,8.321963492765599e-5,0.00010393521769852498
0.094,9.298416088867553e-5,8.339384516066264e-5,0.00010391556938648184
0.095,9.297627723443968e-5,8.335975748752408e-5,0.00010381348958147233
0.096,9.296485961083603e-5,8.311156806412082e-5,0.00010387120976410925
0.097,9.297555026876786e-5,8.319799017577023e-5,0.00010443201000291067
0.098,9.298075777091547e-5,8.272543461058155e-5,0.00010434073976641611
0.099,9.30267003970689e-5,8.259000110507813e-5,0.00010411060186179165
0.1,9.303133270760058e-5,8.254775982590693e-5,0.00010472906402879127
0.101,9.302611266486016e-5,8.271082476578204e-5,0.0001048329659191755
0.102,9.30586174936146e-5,8.278395537474019e-5,0.000104820713556422
0.103,9.307992116924575e-5,8.255607290341222e-5,0.00010499559679409497
0.104,9.307652337318758e-5,8.274450616628402e-5,0.00010525248717546218
0.105,9.306553047495875e-5,8.264761068625452e-5,0.00010475357855480207
0.106,9.30900450256705e-5,8.28461652703045e-5,0.00010501407260457358
0.107,9.313097678732317e-5,8.271846492111108e-5,0.00010503196390961294
0.108,9.31619596754273e-5,8.269434142095728e-5,0.00010492336527765495
0.109,9.315174658369624e-5,8.245369306745175e-5,0.00010572396680699574
0.11,9.319876506868375e-5,8.23262451056768e-5,0.0001054332541748199
0.111,9.322885798680565e-5,8.236029547221214e-5,0.00010513072176844565
0.112,9.323321440327044e-5,8.261488841724375e-5,0.0001052942374319224
0.113,9.324784825476964e-5,8.24306557925517e-5,0.00010503524052055813
0.114,9.322720976558352e-5,8.21290745460403e-5,0.00010549768424344109
0.115,9.324495124362314e-5,8.229582089859026e-5,0.0001054315383151156
0.116,9.323514159357206e-5,8.200048926684057e-5,0.00010541089139385514
0.117,9.321485551585424e-5,8.144391509403752e-5,0.00010518736587014833
0.118,9.322657112994154e-5,8.139881740123068e-5,0.00010491759255893803
0.119,9.322136369706924e-5,8.135509303144021e-5,0.00010524551628358184
0.12,9.323325481137502e-5,8.127724227921442e-5,0.00010517073161186725
0.121,9.325364303931817e-5,8.129573497129269e-5,0.00010516461527629642
0.122,9.324476347939177e-5,8.133547404762511e-5,0.00010539017189299327
0.123,9.327173968955622e-5,8.141988855233313e-5,0.00010520887035325558
0.124,9.331180705230689e-5,8.151974737283246e-5,0.00010525648711397933
0.125,9.33707935163282e-5,8.144195647728005e-5,0.00010544636923275863
0.126,9.338170752020927e-5,8.172125854224852e-5,0.00010562737547470391
0.127,9.342176772415287e-5,8.159447386986139e-5,0.00010644681732516933
0.128,9.344661691322099e-5,8.159963695065646e-5,0.00010653931680608196
0.129,9.346488345976872e-5,8.177858413293919e-5,0.00010671020339221529
0.13,9.346211534732236e-5,8.138294242357858e-5,0.00010689727859993532
0.131,9.348066415871761e-5,8.139757711283713e-5,0.00010688863436967487
0.132,9.351790919188914e-5,8.130420536928589e-5,0.00010714501565300835
0.133,9.349703149279775e-5,8.112825087343571e-5,0.0001067910915532131
0.134,9.349644062822304e-5,8.10162118956149e-5,0.00010708544510899279
0.135,9.35460891680659e-5,8.111926809017391e-5,0.00010712644730846263
0.136,9.356485494336717e-5,8.124140632232642e-5,0.00010684523923867753
0.137,9.357810362207322e-5,8.12587185818472e-5,0.00010709874722800448
0.138,9.359666821229419e-5,8.113444131052558e-5,0.00010715289373729013
0.139,9.364072105466046e-5,8.132028357830102e-5,0.00010752894049321525
0.14,9.3651685452148e-5,8.141989104195052e-5,0.00010759932426187215
0.141,9.37164643335542e-5,8.148047405184338e-5,0.0001075622389958008
0.142,9.373242530441806e-5,8.11999897809103e-5,0.00010768369192996305
0.143,9.38156029934051e-5,8.165434772075201e-5,0.0001079926018104728
0.144,9.387706976694444e-5,8.167772413578546e-5,0.00010844348918791959
0.145,9.389592107037856e-5,8.10845350402633e-5,0.00010814765242588817
0.146,9.397878224686073e-5,8.145653815853678e-5,0.00010803651613641856
0.147,9.396894859851154e-5,8.137331317074847e-5,0.00010763771326273251
0.148,9.399676769185228e-5,8.146096229952566e-5,0.00010851800481193071
0.149,9.403296846072708e-5,8.141179279567927e-5,0.00010861592336074887
0.15,9.409471787152245e-5,8.158433237166675e-5,0.00010883810041081903
0.151,9.41049702217909e-5,8.155124699427897e-5,0.00010848551591009819
0.152,9.412688356544627e-5,8.137791461813442e-5,0.00010834766251518647
0.153,9.413455034944947e-5,8.15162719988622e-5,0.00010858823575636564
0.154,9.416011497547203e-5,8.127755842078666e-5,0.00010833093158054224
0.155,9.42125233047217e-5,8.153586670960533e-5,0.00010857105773701061
0.156,9.420758951053934e-5,8.133533676381107e-5,0.00010889017590881607
0.157,9.425015355910674e-5,8.108053204273965e-5,0.00010910838554103964
0.158,9.422558387922345e-5,8.097543411409797e-5,0.00010887799134658396
0.159,9.429355321623533e-5,8.108001321960651e-5,0.00010908049836443447
0.16,9.427107578378991e-5,8.108829181813244e-5,0.00010862047097506586
0.161,9.427969096315287e-5,8.106486754807141e-5,0.00010864898542103772
0.162,9.426593424125255e-5,8.131008058447802e-5,0.00010859382574172433
0.163,9.430092108503026e-5,8.111322238581032e-5,0.00010868975389647807
0.164,9.432091472675049e-5,8.137035934147022e-5,0.00010851744935284281
0.165,9.437577107868395e-5,8.159116573111831e-5,0.0001090744237234518
0.166,9.439345448575097e-5,8.159673592407862e-5,0.00010942718220276268
0.167,9.43941660497671e-5,8.184202372094184e-5,0.00010951499095821502
0.168,9.437527131405972e-5,8.176277761700628e-5,0.00010930428468630137
0.169,9.442321667870658e-5,8.147589259263522e-5,0.00010946806876136966
0.17,9.449502811253523e-5,8.157841195405321e-5,0.00010950910316693399
0.171,9.453076683831768e-5,8.148235564608508e-5,0.00010886966145684106
0.172,9.452923780595456e-5,8.116191381194701e-5,0.00010938769563447113
0.173,9.460157508537846e-5,8.141781197861938e-5,0.00010974683250674274
0.174,9.463239254919585e-5,8.100669120954148e-5,0.0001101040437425691
0.175,9.465011717876377e-5,8.121000092809461e-5,0.00010948122898711177
0.176,9.468450395418119e-5,8.115641164912942e-5,0.00010915721257477858
0.177,9.470007629039499e-5,8.140230250219177e-5,0.00010917667975191556
0.178,9.470337827389106e-5,8.124825298846218e-5,0.00010931448321724591
0.179,9.467777607008183e-5,8.112599178157734e-5,0.00010950997134234926
0.18,9.471823784876061e-5,8.103025019451024e-5,0.0001092077788531668
0.181,9.473712267739888e-5,8.073736536495992e-5,0.00010950289631017068
0.182,9.478766412256415e-5,8.07641423385629e-5,0.00010975963754422735
0.183,9.482246901817896e-5,8.09376313034584e-5,0.00010990027504664369
0.184,9.488397093675726e-5,8.081476945434635e-5,0.00010985231371864312
0.185,9.491787758497633e-5,8.069886878480262e-5,0.00010977360024382283
0.186,9.498599345615364e-5,8.05317453497162e-5,0.00011016633090887996
0.187,9.496405411442188e-5,8.029852447916596e-5,0.00010987443916216499
0.188,9.494629397760475e-5,8.022789764850556e-5,0.00011013393473757472
0.189,9.493030619075473e-5,8.0435334812644e-5,0.00011074690111954877
0.19,9.491443024296871e-5,8.038677449240494e-5,0.00011066209270839683
0.191,9.489162805894887e-5,8.072258447912554e-5,0.0001106393538285969
0.192,9.4898521676294e-5,8.063957316982126e-5,0.00011131192721814599
0.193,9.488945207351455e-5,8.073828824587725e-5,0.00011063451892577995
0.194,9.490606022259696e-5,8.07792914801603e-5,0.00011070703772294888
0.195,9.495773117550268e-5,8.085534216734075e-5,0.00011092811943028239
0.196,9.50007611837063e-5,8.06114822582869e-5,0.0001108988782249475
0.197,9.504239987593823e-5,8.040954328775576e-5,0.00011077909382939745
0.198,9.506214141349499e-5,8.05238698095867e-5,0.00011073401929613423
0.199,9.505294169897617e-5,8.060943846086721e-5,0.00011108221756193825
0.2,9.506651259561698e-5,8.045667605608242e-5,0.00011089567889422419
0.201,9.510235689426537e-5,8.051086245122643e-5,0.00011059153102753828
0.202,9.51143297176023e-5,8.048692234423853e-5,0.00011105668486101835
0.203,9.517514794309284e-5,8.081095382364185e-5,0.00011111162961300134
0.204,9.519903335922662e-5,8.078458096078984e-5,0.00011071070296780268
0.205,9.523969799818669e-5,8.096841377493023e-5,0.00011108238034167057
0.206,9.52020342781248e-5,8.098098658601227e-5,0.00011059405096087898
0.207,9.52199066438195e-5,8.122321601417026e-5,0.0001111528988480215
0.208,9.526859464882496e-5,8.079402183263672e-5,0.00011096869954253365
0.209,9.5261207865186e-5,8.076252197550089e-5,0.00011137929163194115
0.21,9.52931764267746e-5,8.059726687046194e-5,0.0001111093969249911
0.211,9.529204646833124e-5,8.079674592013632e-5,0.0001118334564686609
0.212,9.528012757704971e-5,8.102285263243903e-5,0.00011123992703470427
0.213,9.534180669392426e-5,8.090688420744644e-5,0.00011170041092579505
0.214,9.536561905690777e-5,8.099727614661873e-5,0.00011214465450793466
0.215,9.543387528718364e-5,8.097171459946548e-5,0.00011239267382326745
0.216,9.547089096327688e-5,8.123447827414414e-5,0.00011209088651494361
0.217,9.547539239019459e-5,8.096326791325417e-5,0.00011225856205529976
0.218,9.54870172902941e-5,8.097165951363613e-5,0.00011237250644212355
0.219,9.552206502362059e-5,8.104059392552624e-5,0.00011252591921979402
0.22,9.553049989900671e-5,8.087143536447789e-5,0.00011259326035636627
0.221,9.554305337504744e-5,8.08341025170076e-5,0.00011266183174633845
0.222,9.56261781333684e-5,8.083311025764656e-5,0.00011265770767330437
0.223,9.565753255930524e-5,8.098078865550387e-5,0.0001121159960112482
0.224,9.570448250963831e-5,8.069391263882509e-5,0.00011217032839684393
0.225,9.568595322137747e-5,8.060132563625557e-5,0.0001124552595381155
0.226,9.570898222765017e-5,8.053858204453763e-5,0.00011257171078593231
0.227,9.568528198955762e-5,8.090369473033521e-5,0.00011335789880091266
0.228,9.57183788321589e-5,8.104350865011925e-5,0.00011349813122659558
0.229,9.580420810232473e-5,8.102245764106167e-5,0.0001135845426039085
0.23,9.582290756159035e-5,8.13471617134402e-5,0.0001138287604458708
0.231,9.584055844122458e-5,8.119559382247478e-5,0.00011346962563190152
0.232,9.588807849448419e-5,8.111553583255617e-5,0.00011346087304789026
0.233,9.588741602106768e-5,8.10236283672975e-5,0.00011336981735380579
0.234,9.590456697856351e-5,8.119690906950988e-5,0.00011354554539855805
0.235,9.593635886911206e-5,8.122781009579875e-5,0.00011326107714628815
0.236,9.596758712560532e-5,8.112282133439913e-5,0.00011392712825216512
0.237,9.60296121512406e-5,8.1230546943877e-5,0.00011380376377397378
0.238,9.605486655138487e-5,8.104807523845879e-5,0.00011332006671038837
0.239,9.608846630274637e-5,8.134729768988542e-5,0.00011375306901784215
0.24,9.612499915447456e-5,8.141643234359046e-5,0.0001142445184349243
0.241,9.614942525349427e-5,8.1390783448055e-5,0.00011391600422281766
0.242,9.616451037560218e-5,8.130943021634871e-5,0.00011388578778326596
0.243,9.614849105125607e-5,8.123712063950279e-5,0.00011416937140029058
0.244,9.615013465390428e-5,8.093280326721802e-5,0.00011424107524460954
0.245,9.613505526444145e-5,8.07446944141335e-5,0.00011467755175838776
0.246,9.617018070034463e-5,8.071262122665831e-5,0.00011461890533997167
0.247,9.617979525763808e-5,8.064581897737017e-5,0.00011434258304598998
0.248,9.619449300118833e-5,8.067435642455933e-5,0.0001141605069255462
0.249,9.623069896210367e-5,8.050238796286288e-5,0.00011414396015821023
0.25,9.628705351901095e-5,8.06104657556224e-5,0.0001146883345681198
0.251,9.632466041586469e-5,8.046968897308193e-5,0.00011450812185670497
0.252,9.633782285938447e-5,8.074272591831651e-5,0.00011445837054413815
0.253,9.636476833400181e-5,8.07307107684106e-5,0.0001152095793834831
0.254,9.637440361039154e-5,8.033137433424683e-5,0.00011429857943860412
0.255,9.638121473030028e-5,8.035435394630823e-5,0.00011485591329455137
0.256,9.640375023270164e-5,8.051449480083288e-5,0.00011476573116234019
0.257,9.642530345649788e-5,8.044251549750448e-5,0.00011469405487708799
0.258,9.646053445210968e-5,8.085249944011197e-5,0.00011503288940637441
0.259,9.647084192419352e-5,8.07496308400047e-5,0.0001147369813715944
0.26,9.648906097620312e-5,8.039372916136813e-5,0.00011500431795926302
0.261,9.649267096012143e-5,8.009939297416095e-5,0.00011516826182458121
0.262,9.647814062929336e-5,8.019215361652405e-5,0.0001150820817681713
0.263,9.650263353773286e-5,8.037552380616195e-5,0.0001147260613878389
0.264,9.652540839510162e-5,8.070883136424776e-5,0.00011506382994273133
0.265,9.658706311038819e-5,8.061834484460382e-5,0.00011514772458419223
0.266,9.663526537527422e-5,8.050019743374267e-5,0.00011561009584451844
0.267,9.663070062599094e-5,8.046789391932192e-5,0.00011539550114918502
0.268,9.664801290261635e-5,8.004968321006555e-5,0.00011553093635416461
0.269,9.66528702003409e-5,8.032374814830845e-5,0.00011476582126993444
0.27,9.669494444896529e-5,8.030709566207334e-5,0.00011503348592891144
0.271,9.669455299955452e-5,7.995758409115486e-5,0.00011512965190556808
0.272,9.668901804329483e-5,8.000101123969367e-5,0.0001157231977181573
0.273,9.671395330441863e-5,7.976111850103992e-5,0.00011572408466053331
0.274,9.674032797385826e-5,7.980059668644297e-5,0.00011591221941244578
0.275,9.676747860128334e-5,7.97208127516356e-5,0.00011615484182063985
0.276,9.676377962631395e-5,7.961347267717123e-5,0.00011656136144755063
0.277,9.674879449023219e-5,7.948151443984255e-5,0.00011686044357525022
0.278,9.676383750708904e-5,7.969064216085087e-5,0.00011704345571446283
0.279,9.678806125469504e-5,7.943637103863095e-5,0.00011754379568613587
0.28,9.679462700472046e-5,7.927231262816313e-5,0.00011794737107066354
0.281,9.679534393538311e-5,7.918109798160479e-5,0.00011768803799194917
0.282,9.679260167008743e-5,7.885359659391705e-5,0.00011706625531334785
0.283,9.676579191131188e-5,7.88255209113148e-5,0.00011693980998016252
0.284,9.676551939528309e-5,7.878708773315195e-5,0.00011756279806167071
0.285,9.677104463788802e-5,7.882409686032886e-5,0.00011738035507521016
0.286,9.682222518572018e-5,7.86221049524872e-5,0.00011738658727235561
0.287,9.68592875890239e-5,7.905299972381496e-5,0.00011741082394958106
0.288,9.688123857842904e-5,7.91667688578209e-5,0.000117986499785478
0.289,9.68802672158931e-5,7.913703558395902e-5,0.00011865850793726136
0.29,9.689601183253672e-5,7.939943574495015e-5,0.00011966136651534424
0.291,9.690651622953256e-5,7.927114388494921e-5,0.00011894750830379974
0.292,9.693311946240201e-5,7.889542873073632e-5,0.00011836286948556311
0.293,9.698200117668215e-5,7.920729687064967e-5,0.00011808511905521038
0.294,9.701553788302532e-5,7.934757148362736e-5,0.00011872707366201353
0.295,9.705172378137841e-5,7.867654072735833e-5,0.00011922739422484395
0.296,9.708584081637602e-5,7.91204999154313e-5,0.00011869246553937267
0.297,9.717340259539102e-5,7.95171859118303e-5,0.00011878113677399416
0.298,9.717265348310687e-5,7.91975864603961e-5,0.0001186783149777511
0.299,9.721161791582443e-5,7.903989088095309e-5,0.00011870819264020278
0.3,9.723570343713664e-5,7.975335573687416e-5,0.00011909390056337498
0.301,9.724573830272971e-5,7.975701791686919e-5,0.00011951818908747738
0.302,9.727210990905436e-5,7.971608887896408e-5,0.00011971619004705076
0.303,9.728246357885513e-5,7.941935949942461e-5,0.0001199358278649415
0.304,9.735989817875154e-5,7.936783267063118e-5,0.00011982855544256558
0.305,9.737679805610572e-5,7.916858874912536e-5,0.00011982108449934028
0.306,9.739201315012078e-5,7.915122255933752e-5,0.00011972621177424737
0.307,9.737476654258573e-5,7.956326952364559e-5,0.00011962330676013748
0.308,9.738838703110599e-5,7.939502195828414e-5,0.00011983086772875793
0.309,9.742628117012039e-5,7.929289006553253e-5,0.00011990920637692483
0.31,9.746250288430861e-5,7.985899152352201e-5,0.00012017104051478434
0.311,9.753593655347219e-5,7.985014751788971e-5,0.0001197295222420604
0.312,9.755329109933518e-5,7.969784056004178e-5,0.00011981527603911318
0.313,9.757316580676451e-5,7.989593840332978e-5,0.00011983430494159725
0.314,9.758438626750836e-5,7.957616777203228e-5,0.00011985945860100054
0.315,9.759981081732944e-5,7.953369191482441e-5,0.00012008592924411427
0.316,9.759200159814112e-5,7.90250810373476e-5,0.00011948989418668292
0.317,9.757716427333984e-5,7.893828544127706e-5,0.0001196231026857378
0.318,9.759788778143803e-5,7.872023835796323e-5,0.00012017102113871838
0.319,9.766979752450739e-5,7.931091441788367e-5,0.00012058493395650574
0.32,9.76891977225629e-5,7.953399800341043e-5,0.00012072290542444133
0.321,9.773958942773358e-5,7.94288556000235e-5,0.00012010123269239439
0.322,9.773444424433997e-5,7.909974760257686e-5,0.00011951004980659542
0.323,9.77545136633866e-5,7.908770152425404e-5,0.00011961739119795365
0.324,9.775616847041773e-5,7.903543545949613e-5,0.00012044427428607488
0.325,9.777999177669594e-5,7.886501300311879e-5,0.00012030127213348874
0.326,9.779322366657016e-5,7.864929896287312e-5,0.00012078434507128665
0.327,9.785039196619027e-5,7.902426978037983e-5,0.00012073472981412654
0.328,9.786550014367913e-5,7.920958266802213e-5,0.00012040318208405285
0.329,9.788781650446336e-5,7.933175208253904e-5,0.00012012714305049518
0.33,9.787003889885078e-5,7.939095295456057e-5,0.00012046414656466392
0.331,9.787461577567002e-5,7.922209662497569e-5,0.00012076512704648958
0.332,9.787365491794457e-5,7.898325606833665e-5,0.00012044648778215645
0.333,9.791302409126389e-5,7.954288091065585e-5,0.00012050395129920443
0.334,9.795935928577008e-5,7.957820627554602e-5,0.00012080140169867221
0.335,9.797953152605424e-5,7.972195391716034e-5,0.00012108961497324972
0.336,9.801542386001209e-5,7.95864493512497e-5,0.00012134514608416221
0.337,9.805288148568981e-5,7.94866534140384e-5,0.00012224379047842625
0.338,9.805519249956687e-5,7.94254460620184e-5,0.00012218296436523722
0.339,9.809047197185317e-5,7.949071403282604e-5,0.00012189734671231213
0.34,9.813472301957906e-5,7.929759355737291e-5,0.0001219282938083065
0.341,9.816485095655078e-5,7.946399351895624e-5,0.0001217031686114708
0.342,9.816519295373133e-5,7.938444828576483e-5,0.00012118155367691694
0.343,9.818868560534859e-5,7.929835135892535e-5,0.00012111355879306098
0.344,9.818845364329059e-5,7.951873043700448e-5,0.00012169430166611788
0.345,9.818855963361864e-5,7.941543909877284e-5,0.00012159281424092871
0.346,9.820238548807806e-5,7.950167016466551e-5,0.00012173771773809796
0.347,9.825482921670126e-5,7.910071671917859e-5,0.00012133320977042119
0.348,9.832174834360735e-5,7.943378140896777e-5,0.00012159575506824396
0.349,9.836015828764029e-5,7.92105824612511e-5,0.0001214078993418786
0.35,9.840411854311004e-5,7.925503962592537e-5,0.00012124772682326249
0.351,9.841924022563636e-5,7.975541373403017e-5,0.00012173880948408413
0.352,9.844808370091294e-5,7.957181006482703e-5,0.00012174202252128624
0.353,9.847844689220811e-5,7.957838146116343e-5,0.00012158427396352973
0.354,9.851788487451304e-5,7.972475046641239e-5,0.00012265515631430714
0.355,9.85854132487114e-5,7.972923340577706e-5,0.0001226955491956987
0.356,9.855058221205736e-5,7.91915816855695e-5,0.00012308936958448186
0.357,9.856020148585542e-5,7.915476266534617e-5,0.00012276929319894657
0.358,9.8615578431786e-5,7.935158854205052e-5,0.0001226040988544637
0.359,9.86030472883036e-5,7.981015073987719e-5,0.00012237329697576638
0.36,9.864586538452478e-5,7.937438770625805e-5,0.00012218704291654182
0.361,9.863192474433087e-5,7.990761558093252e-5,0.0001222445891011234
0.362,9.858021684150204e-5,8.035085081053531e-5,0.00012261488789009343
0.363,9.863091514127294e-5,8.033114431367203e-5,0.00012347534903340087
0.364,9.865313831822285e-5,7.99165841726168e-5,0.0001230302809990387
0.365,9.869231921212709e-5,7.948393329617114e-5,0.0001234680196106146
0.366,9.868641008751163e-5,7.910373068262282e-5,0.00012312559024664529
0.367,9.871334241473941e-5,7.916547772429656e-5,0.0001224260859426262
0.368,9.874189904856725e-5,7.888504405495134e-5,0.00012255063927035442
0.369,9.879045166666294e-5,7.913517328707342e-5,0.0001235023380333312
0.37,9.88001093071663e-5,7.90224260654487e-5,0.00012341883680161376
0.371,9.879845704975558e-5,7.958412213401924e-5,0.0001228920277619042
0.372,9.881988208726616e-5,7.93997832903259e-5,0.00012253716377159742
0.373,9.886483091345164e-5,7.913628475669362e-5,0.00012290721489697235
0.374,9.88720257053776e-5,7.894198577600123e-5,0.00012350418621149704
0.375,9.89370625086627e-5,7.877770397614594e-5,0.000124177745115818
0.376,9.896497203719742e-5,7.863606257910475e-5,0.00012462730149365883
0.377,9.899024694930676e-5,7.890169063740352e-5,0.00012520772187497032
0.378,9.90400727380947e-5,7.910343748711212e-5,0.0001254696468499452
0.379,9.908539162843873e-5,7.925815486084224e-5,0.00012506779773892735
0.38,9.908864208313301e-5,7.88875572579309e-5,0.00012488292634128223
0.381,9.914749152078477e-5,7.863205501165387e-5,0.0001244148819633893
0.382,9.91539717088274e-5,7.862431037206419e-5,0.00012467355412006573
0.383,9.920633910240707e-5,7.898170438479696e-5,0.00012576818352776827
0.384,9.924025466836604e-5,7.895673151841126e-5,0.00012542207971485747
0.385,9.931621511847983e-5,7.916681138149648e-5,0.0001251764605899822
